occurrence_id,value,bin,procedure,local_role,context
1,0,behavioral,setup,setup::ticks-in-selective-passage,set ticks-in-selective-passage 0
4,0.15,behavioral,setup-parameters,setup-parameters::military-degradation,set military-degradation 0.15
9,0.35,behavioral,setup-parameters,setup-parameters::commercial-throughput,set commercial-throughput 0.35
10,0.45,behavioral,setup-parameters,setup-parameters::navigational-reliability,set navigational-reliability 0.45
12,0.30,behavioral,setup-parameters,setup-parameters::insurance-availability,set insurance-availability 0.30
13,0.75,behavioral,setup-parameters,setup-parameters::operator-caution,set operator-caution 0.75
14,0.70,behavioral,setup-parameters,setup-parameters::port-operability,set port-operability 0.70
15,0.55,behavioral,setup-parameters,setup-parameters::anchorage-risk,set anchorage-risk 0.55
19,70,behavioral,setup-parameters,setup-parameters::brent-crude-price,set brent-crude-price 70
21,7,behavioral,setup-parameters,setup-parameters::deadline-remaining,set deadline-remaining 7
33,-1,behavioral,setup-parameters,setup-parameters::resolution-tick,set resolution-tick -1
34,0.20,behavioral,setup-parameters,setup-parameters::disruption-prior,set disruption-prior 0.20
48,1.0,behavioral,setup-parameters,setup-parameters::tau-m-rate,set tau-m-rate 1.0
61,0.25,behavioral,setup-parameters,setup-parameters::market-shock-build-up-rate,set market-shock-build-up-rate 0.25
81,4,behavioral,setup-geography,setup-geography::water?,if abs pycor <= 4 [ set water? true ]
82,2,behavioral,setup-geography,setup-geography::lane?,if abs pycor <= 2 [ set lane? true ]
83,87,behavioral,recolor-patch,recolor-patch::pcolor,[ set pcolor 87 ]
84,95,behavioral,recolor-patch,recolor-patch::pcolor,[ set pcolor 95 ]
85,35,behavioral,recolor-patch,recolor-patch::pcolor,[ set pcolor 35 ]
88,3,behavioral,setup-actors,setup-actors::_,setxy (min-pxcor + 3) (max-pycor - 2)
90,0.33,behavioral,setup-actors,setup-actors::risk-tolerance,set risk-tolerance 0.33
91,0.78,behavioral,setup-actors,setup-actors::electoral-proximity,set electoral-proximity 0.78
92,0.40,behavioral,setup-actors,setup-actors::belief-iran-bluffing,set belief-iran-bluffing 0.40
121,1,behavioral,setup-initial-mines,setup-initial-mines::_,sprout-mines 1 [
123,0.8,behavioral,setup-initial-mines,setup-initial-mines::size,set size 0.8
143,0.85,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.15 0.85) ]
146,0.62,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.62 0.32) ]
147,0.32,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.62 0.32) ]
149,0.72,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.25 0.72) ]
150,0.10,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.10 0.80) ]
151,0.80,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.10 0.80) ]
152,0.18,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.18 0.78) ]
156,0.90,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.90 0.40) ]
158,0.95,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.95 0.10) ]
163,0.60,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.15 0.60) ]
164,0.05,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.05) 0 1) ]
167,0.03,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.03) 0 1) ]
170,0.01,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception + 0.01) 0 1) ]
173,0.02,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception + 0.02) 0 1) ]
179,0.04,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.04) 0 1) ]
189,-999999,behavioral,decide-us-action,decide-us-action::_,let best-u -999999
197,-18,behavioral,us-utility-of,us-utility-of::oil-impact,set oil-impact -18
203,8,behavioral,us-utility-of,us-utility-of::oil-impact,set oil-impact 8
207,15,behavioral,us-utility-of,us-utility-of::oil-impact,set oil-impact 15
208,0.65,behavioral,us-utility-of,us-utility-of::degradation,set degradation 0.65
211,100,behavioral,us-utility-of,us-utility-of::_,let political-cost ((projected-oil / 100) * elect)
216,150,behavioral,us-utility-of,us-utility-of::_,- (beta * (projected-oil / 150))
217,110,behavioral,us-utility-of,us-utility-of::u,if projected-oil > 110 [ set u (u + 0.25) ]
224,0.08,behavioral,us-utility-of,us-utility-of::u,if strait-throughput > 0.65 [ set u (u + 0.08) ]
229,0.50,behavioral,us-utility-of,us-utility-of::u,if permission-factor < 0.50 [ set u (u - 0.12) ]
230,0.12,behavioral,us-utility-of,us-utility-of::u,if permission-factor < 0.50 [ set u (u - 0.12) ]
253,0.22,behavioral,iran-utility-of,iran-utility-of::_,+ ((1 - permission-factor) * 0.22)
257,0.06,behavioral,iran-utility-of,iran-utility-of::economic-leverage,set economic-leverage (economic-leverage + 0.06)
268,0.17,behavioral,iran-utility-of,iran-utility-of::economic-leverage,set economic-leverage (economic-leverage + 0.17)
277,1.15,behavioral,iran-utility-of,iran-utility-of::_,let zeta 1.15
290,0.14,behavioral,iran-utility-of,iran-utility-of::u,if diplomatic-momentum > 0.45 [ set u (u + 0.14) ]
305,20,behavioral,iran-utility-of,iran-utility-of::u,if assets < 20 [ set u (u - 0.30) ]
322,0.16,behavioral,israel-utility-of,israel-utility-of::threat-reduction,set threat-reduction 0.16
325,0.24,behavioral,israel-utility-of,israel-utility-of::threat-reduction,set threat-reduction 0.24
360,0.005,behavioral,execute-us-action,execute-us-action::electoral-proximity,ask us-agent [ set electoral-proximity (bound (electoral-proximity + 0.005) 0 1) ]
363,0.004,behavioral,execute-us-action,execute-us-action::electoral-proximity,ask us-agent [ set electoral-proximity (bound (electoral-proximity + 0.004) 0 1) ]
387,0.28,behavioral,execute-us-action,execute-us-action::military-degradation,set military-degradation (bound (military-degradation + 0.28) 0 1)
406,6,behavioral,execute-israel-action,execute-israel-action::asymmetric-assets,set asymmetric-assets (bound (asymmetric-assets - 6) 0 100)
416,12,behavioral,execute-israel-action,execute-israel-action::asymmetric-assets,set asymmetric-assets (bound (asymmetric-assets - 12) 0 100)
511,1.5,behavioral,execute-iran-action,execute-iran-action::asymmetric-assets,set asymmetric-assets (bound (asymmetric-assets - (actual-n * 1.5)) 0 100)
527,0.07,behavioral,execute-iran-action,execute-iran-action::market-memory,set market-memory (bound (market-memory + 0.07) 0 1)
530,5,behavioral,execute-iran-action,execute-iran-action::asymmetric-assets,ask iran-agent [ set asymmetric-assets (bound (asymmetric-assets - 5) 0 100) ]
575,0.38,behavioral,update-market-state,update-market-state::_,(bound ((0.38 * commercial-throughput)
595,1.8,behavioral,update-market-state,update-market-state::_,+ (market-memory * 0.22)) 0 1.8)
599,0.4,behavioral,update-market-state,update-market-state::_,let habituation-term (min list 20 (ticks-since-major-strike * 0.4))
601,22,behavioral,update-market-state,update-market-state::risk-premium-gross-signal,set risk-premium-gross-signal (((1 - strait-throughput) * 22)
604,9,behavioral,update-market-state,update-market-state::risk-premium-reassurance-signal,set risk-premium-reassurance-signal ((recovery-factor * 9)
605,10,behavioral,update-market-state,update-market-state::_,+ (diplomatic-momentum * 10)
619,25,behavioral,update-market-state,update-market-state::_,if previous-risk-premium-peak >= 25 [
631,1.4,behavioral,update-physical-throughput,update-physical-throughput::physical-throughput,set physical-throughput (bound (reachable-share * (1 - (mine-density * 1.4))) 0.05 1)
639,0.010,behavioral,update-permission-factor,update-permission-factor::permission-factor,set permission-factor (bound (permission-factor + 0.010 + (diplomatic-momentum * 0.008)) 0.10 0.97)
640,0.008,behavioral,update-permission-factor,update-permission-factor::permission-factor,set permission-factor (bound (permission-factor + 0.010 + (diplomatic-momentum * 0.008)) 0.10 0.97)
645,0.003,behavioral,update-permission-factor,update-permission-factor::permission-factor,set permission-factor (bound (permission-factor + 0.004 + (diplomatic-momentum * 0.004) - (regional-strike-volume * 0.003)) 0.10 0.97)
648,0.020,behavioral,update-permission-factor,update-permission-factor::permission-factor,set permission-factor (bound (permission-factor - 0.020) 0.10 0.97)
654,0.035,behavioral,update-permission-factor,update-permission-factor::permission-factor,set permission-factor (bound (permission-factor - 0.035) 0.10 0.97)
657,0.025,behavioral,update-permission-factor,update-permission-factor::permission-factor,set permission-factor (bound (permission-factor - 0.025) 0.10 0.97)
664,0.030,behavioral,update-gnss-reliability,update-gnss-reliability::_,let repair-boost ((recovery-factor * 0.030) + (permission-factor * 0.012) + (diplomatic-momentum * 0.020))
665,0.012,behavioral,update-gnss-reliability,update-gnss-reliability::_,let repair-boost ((recovery-factor * 0.030) + (permission-factor * 0.012) + (diplomatic-momentum * 0.020))
711,85,behavioral,update-memory-stocks,update-memory-stocks::_,+ (max list 0 ((brent-crude-price - 85) / 100) * 0.035)
741,0.09,behavioral,update-insurance-market,update-insurance-market::_,+ (threat-score * 0.09 * tau-c-rate)
745,1.30,behavioral,update-insurance-market,update-insurance-market::_,- (reassurance-bonus * 1.30 * tau-c-rate)) 0 1)
751,1.45,behavioral,update-insurance-market,update-insurance-market::_,+ (reassurance-bonus * 1.45 * tau-c-rate)) 0.10 1)
755,0.27,behavioral,update-commercial-throughput,update-commercial-throughput::_,+ (0.27 * permission-factor)
798,97,behavioral,recolor-lanes,recolor-lanes::pcolor,[ set pcolor 97 ]
808,90,behavioral,update-actor-states,update-actor-states::_,if brent-crude-price > 90 [
812,0.006,behavioral,update-actor-states,update-actor-states::oil-rent-gain,set oil-rent-gain (oil-rent-gain + 0.006)
848,0.5,behavioral,determine-crisis-state,determine-crisis-state::_,and (regional-strike-volume <= 0.5)
860,0.82,behavioral,determine-crisis-state,determine-crisis-state::_,if (strait-throughput > 0.82) and (insurance-availability > 0.78) and (permission-factor > 0.82) [
863,0.58,behavioral,determine-crisis-state,determine-crisis-state::_,if (strait-throughput > 0.58) and (insurance-availability > 0.52) and (permission-factor > 0.60) and access-state !=   [
864,0.52,behavioral,determine-crisis-state,determine-crisis-state::_,if (strait-throughput > 0.58) and (insurance-availability > 0.52) and (permission-factor > 0.60) and access-state !=   [
870,0.015,behavioral,determine-crisis-state,determine-crisis-state::diplomatic-momentum,set diplomatic-momentum (bound (diplomatic-momentum + (0.015 * tau-d-rate)) 0 1)
885,0.88,behavioral,determine-crisis-state,determine-crisis-state::_,or (permission-factor < 0.88)
890,0.66,behavioral,determine-crisis-state,determine-crisis-state::_,and ([security-perception] of israel-agent > 0.66)
937,0.7,behavioral,update-commercial-insurer,update-commercial-insurer::_,let routine-flow (regional-strike-volume + (proxy-attack-level * 0.7))
944,1.6,behavioral,update-commercial-insurer,update-commercial-insurer::_,let target-posterior (bound (discounted-evidence / 1.6) 0 0.95)
972,1,classifier,outcome-partial-closure,outcome-partial-closure::_,report ifelse-value (crisis-state =  ) [1] [0]
973,0,classifier,outcome-partial-closure,outcome-partial-closure::_,report ifelse-value (crisis-state =  ) [1] [0]
982,0.40,classifier,current-crisis-fit,current-crisis-fit::_,let target-throughput 0.40
983,102,classifier,current-crisis-fit,current-crisis-fit::_,let target-price 102
984,0.55,classifier,current-crisis-fit,current-crisis-fit::_,let target-insurance 0.55
986,0.60,classifier,current-crisis-fit,current-crisis-fit::_,let target-permission 0.60
987,0.50,classifier,current-crisis-fit,current-crisis-fit::_,let target-diplomacy 0.50
989,28,classifier,current-crisis-fit,current-crisis-fit::gap,set gap (gap + (abs (strait-throughput - target-throughput) * 28))
990,0.38,classifier,current-crisis-fit,current-crisis-fit::gap,set gap (gap + (abs (brent-crude-price - target-price) * 0.38))
991,16,classifier,current-crisis-fit,current-crisis-fit::gap,set gap (gap + (abs (insurance-availability - target-insurance) * 16))
992,14,classifier,current-crisis-fit,current-crisis-fit::gap,set gap (gap + (abs (gnss-reliability - target-gnss) * 14))
994,10,classifier,current-crisis-fit,current-crisis-fit::gap,set gap (gap + (abs (diplomatic-momentum - target-diplomacy) * 10))
997,8,classifier,current-crisis-fit,current-crisis-fit::gap,if economic-war-state =   [ set gap (gap - 8) ]
999,6,classifier,current-crisis-fit,current-crisis-fit::gap,if access-state =   [ set gap (gap - 6) ]
1004,12,classifier,current-crisis-fit,current-crisis-fit::gap,if crisis-state =   [ set gap (gap + 12) ]
1007,5,classifier,calibration-score,calibration-score::score,if crisis-state =   [ set score (score + 5) ]
1008,2,classifier,calibration-score,calibration-score::score,if crisis-state =   [ set score (score + 2) ]
1011,18,classifier,calibration-score,calibration-score::score,if crisis-state =   [ set score (score - 18) ]
1014,4,classifier,calibration-score,calibration-score::score,if economic-war-state =   [ set score (score + 4) ]
1017,7,classifier,calibration-score,calibration-score::score,set score (score + (7 * selective-passage-share))
1018,3,classifier,calibration-score,calibration-score::score,set score (score + (3 * partial-closure-share))
1020,1.5,classifier,calibration-score,calibration-score::score,if ever-selective-passage? [ set score (score + 1.5) ]
1056,999,behavioral,tau-c-over-tau-m,tau-c-over-tau-m::_,if tau-c-rate <= 0 [ report 999 ]
1061,-1,classifier,awrp-recovery-lag,awrp-recovery-lag::_,if tick-military-pause-start = -1 [ report -1 ]
1073,0.11,classifier,insurance-floor-hit,insurance-floor-hit::_,report ifelse-value (insurance-availability <= 0.11) [1] [0]
1076,0.99,classifier,operator-caution-ceiling-hit,operator-caution-ceiling-hit::_,report ifelse-value (operator-caution >= 0.99) [1] [0]
1079,0.95,classifier,awrp-ceiling-hit,awrp-ceiling-hit::_,report ifelse-value (awrp >= 0.95) [1] [0]
1082,50,classifier,risk-premium-high-hit,risk-premium-high-hit::_,report ifelse-value (oil-risk-premium >= 50) [1] [0]
